study_id,dataset_name,competition_key,competition_name,season_start_year,source_file,repository_created_utc,matches,clubs,total_goals,goals_per_match,home_goals_per_match,away_goals_per_match,mean_home_goal_difference,home_wins,draws,away_wins,home_win_rate,draw_rate,away_win_rate,both_teams_to_score_rate,home_clean_sheet_rate,away_clean_sheet_rate,zero_goal_match_rate,one_goal_match_rate,two_goal_match_rate,three_goal_match_rate,four_plus_goal_match_rate,one_goal_margin_rate,three_plus_goal_margin_rate,home_points_per_match,away_points_per_match
study_042,league_season_repository,ligue_1,Ligue 1,2021,league_fingerprints_2021.csv,2026-07-23T08:21:44+00:00,380,20,1067,2.807894736842105,1.581578947368421,1.2263157894736842,0.3552631578947368,162,102,116,0.4263157894736842,0.2684210526315789,0.3052631578947368,0.5526315789473685,0.2894736842105263,0.2210526315789473,0.0631578947368421,0.1657894736842105,0.2684210526315789,0.1842105263157894,0.3184210526315789,0.3684210526315789,0.1447368421052631,1.5473684210526315,1.1842105263157894
study_042,league_season_repository,ligue_1,Ligue 1,2022,league_fingerprints_2022.csv,2026-07-23T08:21:44+00:00,380,20,1067,2.807894736842105,1.4894736842105265,1.318421052631579,0.1710526315789473,163,92,125,0.4289473684210526,0.2421052631578947,0.3289473684210526,0.5815789473684211,0.25,0.2368421052631578,0.0684210526315789,0.15,0.2184210526315789,0.2710526315789474,0.2921052631578947,0.3973684210526316,0.1473684210526315,1.5289473684210526,1.2289473684210526
study_042,league_season_repository,ligue_1,Ligue 1,2023,league_fingerprints_2023.csv,2026-07-23T08:21:44+00:00,306,18,826,2.6993464052287583,1.4477124183006536,1.2516339869281046,0.196078431372549,120,81,105,0.392156862745098,0.2647058823529412,0.3431372549019608,0.5392156862745098,0.3137254901960784,0.2352941176470588,0.088235294117647,0.1568627450980392,0.2254901960784313,0.2418300653594771,0.2875816993464052,0.3790849673202614,0.1372549019607843,1.4411764705882353,1.2941176470588236
study_042,league_season_repository,ligue_1,Ligue 1,2024,league_fingerprints_2024.csv,2026-07-23T08:21:44+00:00,306,18,911,2.977124183006536,1.607843137254902,1.369281045751634,0.238562091503268,143,62,101,0.4673202614379085,0.2026143790849673,0.3300653594771242,0.5686274509803921,0.2679738562091503,0.2091503267973856,0.0457516339869281,0.130718954248366,0.2679738562091503,0.2026143790849673,0.3529411764705882,0.326797385620915,0.1633986928104575,1.6045751633986929,1.19281045751634
study_042,league_season_repository,ligue_1,Ligue 1,2025,league_fingerprints_2025.csv,2026-07-23T08:21:44+00:00,305,18,863,2.829508196721312,1.5868852459016394,1.2426229508196722,0.3442622950819672,141,74,90,0.4622950819672131,0.2426229508196721,0.2950819672131147,0.5081967213114754,0.3377049180327869,0.2295081967213114,0.0754098360655737,0.1967213114754098,0.2,0.2,0.3278688524590163,0.3868852459016393,0.1770491803278688,1.6295081967213114,1.1278688524590164
study_042,league_season_repository,premier_league,Premier League,2021,league_fingerprints_2021.csv,2026-07-23T08:21:44+00:00,380,20,1071,2.818421052631579,1.513157894736842,1.305263157894737,0.2078947368421052,163,88,129,0.4289473684210526,0.231578947368421,0.3394736842105263,0.5,0.3131578947368421,0.2447368421052631,0.0578947368421052,0.1710526315789473,0.231578947368421,0.2131578947368421,0.3263157894736842,0.3605263157894737,0.2052631578947368,1.518421052631579,1.25
study_042,league_season_repository,premier_league,Premier League,2022,league_fingerprints_2022.csv,2026-07-23T08:21:44+00:00,380,20,1084,2.8526315789473684,1.6342105263157896,1.2184210526315788,0.4157894736842105,184,87,109,0.4842105263157895,0.2289473684210526,0.2868421052631579,0.5157894736842106,0.3289473684210526,0.2157894736842105,0.0605263157894736,0.1842105263157894,0.2289473684210526,0.2078947368421052,0.3184210526315789,0.3736842105263158,0.181578947368421,1.681578947368421,1.0894736842105264
study_042,league_season_repository,premier_league,Premier League,2023,league_fingerprints_2023.csv,2026-07-23T08:21:44+00:00,380,20,1246,3.278947368421053,1.8,1.4789473684210526,0.3210526315789473,175,82,123,0.4605263157894737,0.2157894736842105,0.3236842105263158,0.6157894736842106,0.2342105263157894,0.1789473684210526,0.0289473684210526,0.1105263157894736,0.2131578947368421,0.2105263157894736,0.4368421052631579,0.331578947368421,0.2,1.5973684210526315,1.186842105263158
study_042,league_season_repository,premier_league,Premier League,2024,league_fingerprints_2024.csv,2026-07-23T08:21:44+00:00,380,20,1115,2.9342105263157894,1.513157894736842,1.4210526315789471,0.0921052631578947,155,93,132,0.4078947368421052,0.2447368421052631,0.3473684210526316,0.5736842105263158,0.2289473684210526,0.2394736842105263,0.0421052631578947,0.1447368421052631,0.2473684210526315,0.2236842105263158,0.3421052631578947,0.3605263157894737,0.1684210526315789,1.4684210526315788,1.2868421052631578
study_042,league_season_repository,premier_league,Premier League,2025,league_fingerprints_2025.csv,2026-07-23T08:21:44+00:00,380,20,1045,2.75,1.5263157894736843,1.2236842105263157,0.3026315789473684,162,104,114,0.4263157894736842,0.2736842105263158,0.3,0.5605263157894737,0.2842105263157894,0.2263157894736842,0.0710526315789473,0.1394736842105263,0.2394736842105263,0.2657894736842105,0.2842105263157894,0.3763157894736842,0.1473684210526315,1.5526315789473684,1.173684210526316
study_042,league_season_repository,serie_a,Serie A,2021,league_fingerprints_2021.csv,2026-07-23T08:21:44+00:00,380,20,1089,2.8657894736842104,1.5026315789473683,1.363157894736842,0.1394736842105263,148,98,134,0.3894736842105263,0.2578947368421053,0.3526315789473684,0.5736842105263158,0.2763157894736842,0.2078947368421052,0.0578947368421052,0.1605263157894736,0.2236842105263158,0.231578947368421,0.3263157894736842,0.3973684210526316,0.1552631578947368,1.4263157894736842,1.3157894736842106
study_042,league_season_repository,serie_a,Serie A,2022,league_fingerprints_2022.csv,2026-07-23T08:21:44+00:00,380,20,974,2.5631578947368423,1.4131578947368422,1.15,0.2631578947368421,161,100,119,0.4236842105263158,0.2631578947368421,0.3131578947368421,0.5026315789473684,0.3052631578947368,0.2447368421052631,0.0526315789473684,0.1947368421052631,0.2973684210526315,0.2131578947368421,0.2421052631578947,0.3947368421052631,0.1236842105263157,1.5342105263157897,1.2026315789473685
study_042,league_season_repository,serie_a,Serie A,2023,league_fingerprints_2023.csv,2026-07-23T08:21:44+00:00,380,20,992,2.610526315789474,1.4342105263157894,1.1763157894736842,0.2578947368421053,159,112,109,0.4184210526315789,0.2947368421052631,0.2868421052631579,0.5236842105263158,0.3289473684210526,0.2263157894736842,0.0789473684210526,0.1763157894736842,0.2526315789473684,0.2289473684210526,0.2631578947368421,0.3789473684210526,0.1421052631578947,1.55,1.1552631578947368
study_042,league_season_repository,serie_a,Serie A,2024,league_fingerprints_2024.csv,2026-07-23T08:21:44+00:00,380,20,973,2.560526315789473,1.3394736842105264,1.2210526315789474,0.1184210526315789,151,108,121,0.3973684210526316,0.2842105263157894,0.3184210526315789,0.5157894736842106,0.2921052631578947,0.2657894736842105,0.0736842105263157,0.1868421052631579,0.2578947368421053,0.2210526315789473,0.2605263157894736,0.4157894736842105,0.131578947368421,1.4763157894736842,1.2394736842105265
study_042,league_season_repository,serie_a,Serie A,2025,league_fingerprints_2025.csv,2026-07-23T08:21:44+00:00,380,20,922,2.4263157894736844,1.2763157894736843,1.15,0.1263157894736842,148,99,133,0.3894736842105263,0.2605263157894736,0.35,0.4526315789473684,0.3289473684210526,0.3131578947368421,0.0947368421052631,0.2052631578947368,0.2421052631578947,0.2368421052631578,0.2210526315789473,0.4184210526315789,0.1289473684210526,1.4289473684210523,1.3105263157894738
